,Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,Unnamed: 108,State
0,2010,104,52,50.0,11,3,27.27,10.58,5,0,0.0,4.81,16,13,81.25,15.38,68,32,47.06,65.38,0,0,0.0,0.0,1,0,0.0,0.96,0,0,0.0,0.0,2,0,0.0,1.92,17,6,35.29,16.35,3,0,0.0,2.88,0,0,0.0,0.0,3,0,0.0,2.88,8,2,25.0,7.69,0,0,0.0,0.0,1,0,0.0,0.96,0,0,0.0,0.0,2,0,0.0,1.92,87,46,52.87,83.65,8,2,25.0,7.69,5,0,0.0,4.81,13,11,84.62,12.5,60,30,50.0,57.69,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0, ,Alabama
1,2011,99,61,61.62,18,5,27.78,18.18,1,0,0.0,1.01,19,17,89.47,19.19,52,34,65.38,52.53,0,0,0.0,0.0,1,0,0.0,1.01,0,0,0.0,0.0,0,0,0.0,0.0,17,7,41.18,17.17,7,2,28.57,7.07,0,0,0.0,0.0,3,0,0.0,3.03,7,3,42.86,7.07,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,82,54,65.85,82.83,11,3,27.27,11.11,1,0,0.0,1.01,16,15,93.75,16.16,45,31,68.89,45.45,0,0,0.0,0.0,1,0,0.0,1.01,0,0,0.0,0.0,0,0,0.0,0.0, ,Alabama
2,2012,97,61,62.89,9,5,55.56,9.28,2,0,0.0,2.06,10,6,60.0,10.31,69,45,65.22,71.13,0,0,0.0,0.0,1,0,0.0,1.03,0,0,0.0,0.0,3,0,0.0,3.09,12,10,83.33,12.37,1,0,0.0,1.03,0,0,0.0,0.0,5,4,80.0,5.15,4,0,0.0,4.12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,1.03,85,51,60.0,87.63,8,4,50.0,8.25,2,0,0.0,2.06,5,2,40.0,5.15,65,41,63.08,67.01,0,0,0.0,0.0,1,0,0.0,1.03,0,0,0.0,0.0,2,0,0.0,2.06, ,Alabama
3,2013,126,99,78.57,8,6,75.0,6.35,1,0,0.0,0.79,20,17,85.0,15.87,92,73,79.35,73.02,0,0,0.0,0.0,1,0,0.0,0.79,0,0,0.0,0.0,3,0,0.0,2.38,22,17,77.27,17.46,2,0,0.0,1.59,0,0,0.0,0.0,6,4,66.67,4.76,12,11,91.67,9.52,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0.0,1.59,104,82,78.85,82.54,6,5,83.33,4.76,1,0,0.0,0.79,14,13,92.86,11.11,80,62,77.5,63.49,0,0,0.0,0.0,1,0,0.0,0.79,0,0,0.0,0.0,1,0,0.0,0.79, ,Alabama
4,2014,197,111,56.35,20,5,25.0,10.15,7,0,0.0,3.55,34,21,61.76,17.26,128,78,60.94,64.97,0,0,0.0,0.0,2,0,0.0,1.02,0,0,0.0,0.0,4,0,0.0,2.03,33,19,57.58,16.75,4,0,0.0,2.03,1,0,0.0,0.51,11,7,63.64,5.58,16,11,68.75,8.12,0,0,0.0,0.0,1,0,0.0,0.51,0,0,0.0,0.0,0,0,0.0,0.0,164,92,56.1,83.25,16,4,25.0,8.12,6,0,0.0,3.05,23,14,60.87,11.68,112,67,59.82,56.85,0,0,0.0,0.0,1,0,0.0,0.51,0,0,0.0,0.0,4,0,0.0,2.03, ,Alabama
5,2015,189,106,56.08,13,5,38.46,6.88,8,3,37.5,4.23,42,27,64.29,22.22,117,66,56.41,61.9,0,0,0.0,0.0,4,0,0.0,2.12,0,0,0.0,0.0,3,0,0.0,1.59,36,20,55.56,19.05,2,0,0.0,1.06,2,0,0.0,1.06,9,5,55.56,4.76,21,12,57.14,11.11,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0.0,1.06,153,86,56.21,80.95,11,4,36.36,5.82,6,0,0.0,3.17,33,22,66.67,17.46,96,54,56.25,50.79,0,0,0.0,0.0,4,0,0.0,2.12,0,0,0.0,0.0,1,0,0.0,0.53, ,Alabama
6,2016,303,145,47.85,11,4,36.36,3.63,20,6,30.0,6.6,51,31,60.78,16.83,198,92,46.46,65.35,1,0,0.0,0.33,3,0,0.0,0.99,12,8,66.67,3.96,0,0,0.0,0.0,61,21,34.43,20.13,5,2,40.0,1.65,3,0,0.0,0.99,15,5,33.33,4.95,33,10,30.3,10.89,1,0,0.0,0.33,0,0,0.0,0.0,3,0,0.0,0.99,0,0,0.0,0.0,242,124,51.24,79.87,6,2,33.33,1.98,17,5,29.41,5.61,36,26,72.22,11.88,165,82,49.7,54.46,0,0,0.0,0.0,3,0,0.0,0.99,9,6,66.67,2.97,0,0,0.0,0.0, ,Alabama
7,2017,271,141,52.03,14,8,57.14,5.17,8,5,62.5,2.95,57,31,54.39,21.03,167,89,53.29,61.62,1,0,0.0,0.37,1,0,0.0,0.37,13,5,38.46,4.8,0,0,0.0,0.0,55,24,43.64,20.3,5,1,20.0,1.85,0,0,0.0,0.0,22,8,36.36,8.12,21,11,52.38,7.75,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0.37,0,0,0.0,0.0,216,117,54.17,79.7,9,7,77.78,3.32,8,5,62.5,2.95,35,23,65.71,12.92,146,78,53.42,53.87,1,0,0.0,0.37,1,0,0.0,0.37,12,4,33.33,4.43,0,0,0.0,0.0, ,Alabama
8,2018,410,207,50.49,29,14,48.28,7.07,22,9,40.91,5.37,76,49,64.47,18.54,258,120,46.51,62.93,1,0,0.0,0.24,2,0,0.0,0.49,17,11,64.71,4.15,0,0,0.0,0.0,80,44,55.0,19.51,6,2,33.33,1.46,6,2,33.33,1.46,25,18,72.0,6.1,37,18,48.65,9.02,0,0,0.0,0.0,2,0,0.0,0.49,3,0,0.0,0.73,0,0,0.0,0.0,330,163,49.39,80.49,23,12,52.17,5.61,16,7,43.75,3.9,51,31,60.78,12.44,221,102,46.15,53.9,1,0,0.0,0.24,0,0,0.0,0.0,14,9,64.29,3.41,0,0,0.0,0.0, ,Alabama
9,2019,288,155,53.82,27,8,29.63,9.38,20,10,50.0,6.94,51,33,64.71,17.71,171,97,56.73,59.38,0,0,0.0,0.0,3,0,0.0,1.04,14,6,42.86,4.86,0,0,0.0,0.0,63,32,50.79,21.88,9,3,33.33,3.12,5,3,60.0,1.74,11,5,45.45,3.82,34,19,55.88,11.81,0,0,0.0,0.0,1,0,0.0,0.35,3,0,0.0,1.04,0,0,0.0,0.0,225,123,54.67,78.12,18,5,27.78,6.25,15,7,46.67,5.21,40,28,70.0,13.89,137,78,56.93,47.57,0,0,0.0,0.0,2,0,0.0,0.69,11,5,45.45,3.82,0,0,0.0,0.0, ,Alabama
