Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2010,121,51,42.15,9,1,11.11,7.44,10,2,20,8.26,17,6,35.29,14.05,74,37,50,61.16,0,0,0,0,1,0,0,0.83,0,0,0,0,2,0,0,1.65,17,9,52.94,14.05,4,0,0,3.31,3,0,0,2.48,5,3,60,4.13,5,3,60,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,42,40.38,85.95,5,0,0,4.13,7,0,0,5.79,12,3,25,9.92,69,34,49.28,57.02,0,0,0,0,1,0,0,0.83,0,0,0,0,2,0,0,1.65, 
2011,152,62,40.79,7,2,28.57,4.61,21,2,9.52,13.82,23,11,47.83,15.13,92,45,48.91,60.53,0,0,0,0,3,0,0,1.97,0,0,0,0,4,0,0,2.63,19,9,47.37,12.5,0,0,0,0,2,0,0,1.32,6,4,66.67,3.95,9,4,44.44,5.92,0,0,0,0,1,0,0,0.66,0,0,0,0,1,0,0,0.66,133,53,39.85,87.5,7,2,28.57,4.61,19,1,5.26,12.5,17,7,41.18,11.18,83,41,49.4,54.61,0,0,0,0,2,0,0,1.32,0,0,0,0,3,0,0,1.97, 
2012,146,42,28.77,3,0,0,2.05,18,1,5.56,12.33,26,8,30.77,17.81,90,31,34.44,61.64,0,0,0,0,1,0,0,0.68,0,0,0,0,3,0,0,2.05,26,4,15.38,17.81,1,0,0,0.68,2,0,0,1.37,12,2,16.67,8.22,10,2,20,6.85,0,0,0,0,1,0,0,0.68,0,0,0,0,0,0,0,0,120,38,31.67,82.19,2,0,0,1.37,16,1,6.25,10.96,14,6,42.86,9.59,80,29,36.25,54.79,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2.05, 
2013,173,85,49.13,7,3,42.86,4.05,14,3,21.43,8.09,23,17,73.91,13.29,120,59,49.17,69.36,0,0,0,0,5,3,60,2.89,0,0,0,0,4,0,0,2.31,26,10,38.46,15.03,3,0,0,1.73,3,0,0,1.73,6,2,33.33,3.47,11,5,45.45,6.36,0,0,0,0,2,0,0,1.16,0,0,0,0,1,0,0,0.58,147,75,51.02,84.97,4,0,0,2.31,11,2,18.18,6.36,17,15,88.24,9.83,109,54,49.54,63.01,0,0,0,0,3,0,0,1.73,0,0,0,0,3,0,0,1.73, 
2014,161,56,34.78,5,3,60,3.11,17,2,11.76,10.56,32,14,43.75,19.88,102,36,35.29,63.35,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.24,30,12,40,18.63,1,0,0,0.62,1,0,0,0.62,8,2,25,4.97,19,9,47.37,11.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.62,131,44,33.59,81.37,4,0,0,2.48,16,2,12.5,9.94,24,12,50,14.91,83,27,32.53,51.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.62, 
2015,293,83,28.33,15,0,0,5.12,24,4,16.67,8.19,44,19,43.18,15.02,189,55,29.1,64.51,0,0,0,0,2,0,0,0.68,0,0,0,0,7,1,14.29,2.39,63,12,19.05,21.5,6,0,0,2.05,9,0,0,3.07,8,3,37.5,2.73,34,7,20.59,11.6,0,0,0,0,1,0,0,0.34,0,0,0,0,2,0,0,0.68,230,71,30.87,78.5,9,0,0,3.07,15,3,20,5.12,36,16,44.44,12.29,155,48,30.97,52.9,0,0,0,0,1,0,0,0.34,0,0,0,0,5,1,20,1.71, 
2016,304,92,30.26,17,2,11.76,5.59,38,5,13.16,12.5,40,21,52.5,13.16,188,56,29.79,61.84,0,0,0,0,1,0,0,0.33,18,7,38.89,5.92,0,0,0,0,69,16,23.19,22.7,4,0,0,1.32,8,0,0,2.63,10,4,40,3.29,39,8,20.51,12.83,0,0,0,0,0,0,0,0,8,4,50,2.63,0,0,0,0,235,76,32.34,77.3,13,2,15.38,4.28,30,5,16.67,9.87,30,17,56.67,9.87,149,48,32.21,49.01,0,0,0,0,1,0,0,0.33,10,3,30,3.29,0,0,0,0, 
2017,378,112,29.63,41,3,7.32,10.85,59,11,18.64,15.61,29,16,55.17,7.67,225,75,33.33,59.52,3,0,0,0.79,1,0,0,0.26,19,7,36.84,5.03,0,0,0,0,78,15,19.23,20.63,12,0,0,3.17,14,2,14.29,3.7,7,4,57.14,1.85,38,9,23.68,10.05,2,0,0,0.53,0,0,0,0,4,0,0,1.06,0,0,0,0,300,97,32.33,79.37,29,3,10.34,7.67,45,9,20,11.9,22,12,54.55,5.82,187,66,35.29,49.47,1,0,0,0.26,1,0,0,0.26,15,7,46.67,3.97,0,0,0,0, 
2018,480,162,33.75,51,10,19.61,10.62,53,15,28.3,11.04,42,26,61.9,8.75,301,101,33.55,62.71,2,0,0,0.42,3,0,0,0.62,21,8,38.1,4.38,0,0,0,0,130,37,28.46,27.08,21,1,4.76,4.38,19,7,36.84,3.96,17,14,82.35,3.54,64,13,20.31,13.33,0,0,0,0,1,0,0,0.21,5,2,40,1.04,0,0,0,0,350,125,35.71,72.92,30,9,30,6.25,34,8,23.53,7.08,25,12,48,5.21,237,88,37.13,49.38,2,0,0,0.42,2,0,0,0.42,16,6,37.5,3.33,0,0,0,0, 
2019,395,155,39.24,28,4,14.29,7.09,51,13,25.49,12.91,50,21,42,12.66,237,105,44.3,60,1,0,0,0.25,1,0,0,0.25,23,11,47.83,5.82,0,0,0,0,80,23,28.75,20.25,7,1,14.29,1.77,11,2,18.18,2.78,12,6,50,3.04,43,13,30.23,10.89,1,0,0,0.25,0,0,0,0,5,1,20,1.27,0,0,0,0,315,132,41.9,79.75,21,3,14.29,5.32,40,11,27.5,10.13,38,15,39.47,9.62,194,92,47.42,49.11,0,0,0,0,1,0,0,0.25,18,10,55.56,4.56,0,0,0,0, 
