Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2010,80,48,60,3,0,0,3.75,3,0,0,3.75,15,13,86.67,18.75,55,31,56.36,68.75,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.5,9,7,77.78,11.25,1,0,0,1.25,0,0,0,0,5,5,100,6.25,2,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,41,57.75,88.75,2,0,0,2.5,3,0,0,3.75,10,8,80,12.5,53,30,56.6,66.25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.5, 
2011,48,30,62.5,0,0,0,0,0,0,0,0,9,8,88.89,18.75,37,20,54.05,77.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6.25,0,0,0,0,0,0,0,0,1,0,0,2.08,2,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29,64.44,93.75,0,0,0,0,0,0,0,0,8,8,100,16.67,35,19,54.29,72.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2012,61,39,63.93,2,0,0,3.28,1,0,0,1.64,7,5,71.43,11.48,48,31,64.58,78.69,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4.92,5,4,80,8.2,0,0,0,0,0,0,0,0,2,0,0,3.28,3,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,35,62.5,91.8,2,0,0,3.28,1,0,0,1.64,5,3,60,8.2,45,29,64.44,73.77,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4.92, 
2013,64,41,64.06,2,0,0,3.12,1,0,0,1.56,14,9,64.29,21.88,45,28,62.22,70.31,0,0,0,0,1,0,0,1.56,0,0,0,0,1,0,0,1.56,9,4,44.44,14.06,0,0,0,0,0,0,0,0,3,0,0,4.69,6,3,50,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,37,67.27,85.94,2,0,0,3.12,1,0,0,1.56,11,8,72.73,17.19,39,25,64.1,60.94,0,0,0,0,1,0,0,1.56,0,0,0,0,1,0,0,1.56, 
2014,79,46,58.23,3,0,0,3.8,2,0,0,2.53,23,16,69.57,29.11,47,24,51.06,59.49,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5.06,7,2,28.57,8.86,0,0,0,0,0,0,0,0,4,0,0,5.06,3,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,44,61.11,91.14,3,0,0,3.8,2,0,0,2.53,19,15,78.95,24.05,44,23,52.27,55.7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5.06, 
2015,156,87,55.77,2,0,0,1.28,6,0,0,3.85,36,23,63.89,23.08,105,55,52.38,67.31,0,0,0,0,1,0,0,0.64,0,0,0,0,4,0,0,2.56,40,18,45,25.64,1,0,0,0.64,1,0,0,0.64,14,8,57.14,8.97,24,9,37.5,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,69,59.48,74.36,1,0,0,0.64,5,0,0,3.21,22,15,68.18,14.1,81,46,56.79,51.92,0,0,0,0,1,0,0,0.64,0,0,0,0,4,0,0,2.56, 
2016,166,88,53.01,6,2,33.33,3.61,9,5,55.56,5.42,32,18,56.25,19.28,114,59,51.75,68.67,0,0,0,0,0,0,0,0,5,4,80,3.01,0,0,0,0,26,12,46.15,15.66,2,0,0,1.2,2,0,0,1.2,9,5,55.56,5.42,11,3,27.27,6.63,0,0,0,0,0,0,0,0,2,0,0,1.2,0,0,0,0,140,76,54.29,84.34,4,0,0,2.41,7,4,57.14,4.22,23,13,56.52,13.86,103,56,54.37,62.05,0,0,0,0,0,0,0,0,3,0,0,1.81,0,0,0,0, 
2017,158,97,61.39,10,4,40,6.33,4,0,0,2.53,52,35,67.31,32.91,85,50,58.82,53.8,0,0,0,0,0,0,0,0,7,5,71.43,4.43,0,0,0,0,33,17,51.52,20.89,3,0,0,1.9,0,0,0,0,13,8,61.54,8.23,15,6,40,9.49,0,0,0,0,0,0,0,0,2,0,0,1.27,0,0,0,0,125,80,64,79.11,7,3,42.86,4.43,4,0,0,2.53,39,27,69.23,24.68,70,44,62.86,44.3,0,0,0,0,0,0,0,0,5,3,60,3.16,0,0,0,0, 
2018,170,65,38.24,8,1,12.5,4.71,13,2,15.38,7.65,39,18,46.15,22.94,91,39,42.86,53.53,0,0,0,0,1,0,0,0.59,14,3,21.43,8.24,0,0,0,0,30,8,26.67,17.65,2,0,0,1.18,1,0,0,0.59,12,4,33.33,7.06,10,2,20,5.88,0,0,0,0,0,0,0,0,5,2,40,2.94,0,0,0,0,140,57,40.71,82.35,6,1,16.67,3.53,12,2,16.67,7.06,27,14,51.85,15.88,81,37,45.68,47.65,0,0,0,0,1,0,0,0.59,9,1,11.11,5.29,0,0,0,0, 
2019,239,108,45.19,17,5,29.41,7.11,19,4,21.05,7.95,57,38,66.67,23.85,121,53,43.8,50.63,0,0,0,0,2,0,0,0.84,20,7,35,8.37,0,0,0,0,52,21,40.38,21.76,6,1,16.67,2.51,2,0,0,0.84,16,9,56.25,6.69,22,8,36.36,9.21,0,0,0,0,0,0,0,0,6,3,50,2.51,0,0,0,0,187,87,46.52,78.24,11,4,36.36,4.6,17,4,23.53,7.11,41,29,70.73,17.15,99,45,45.45,41.42,0,0,0,0,2,0,0,0.84,14,4,28.57,5.86,0,0,0,0, 
2020,235,105,44.68,26,4,15.38,11.06,12,4,33.33,5.11,57,38,66.67,24.26,120,46,38.33,51.06,0,0,0,0,1,0,0,0.43,12,8,66.67,5.11,0,0,0,0,70,32,45.71,29.79,7,0,0,2.98,5,2,40,2.13,25,16,64,10.64,25,10,40,10.64,0,0,0,0,0,0,0,0,5,2,40,2.13,0,0,0,0,165,73,44.24,70.21,19,4,21.05,8.09,7,2,28.57,2.98,32,22,68.75,13.62,95,36,37.89,40.43,0,0,0,0,1,0,0,0.43,7,6,85.71,2.98,0,0,0,0, 
2021,230,90,39.13,28,7,25,12.17,17,4,23.53,7.39,55,39,70.91,23.91,101,32,31.68,43.91,0,0,0,0,0,0,0,0,19,5,26.32,8.26,10,3,30,4.35,48,20,41.67,20.87,9,2,22.22,3.91,2,0,0,0.87,15,12,80,6.52,16,2,12.5,6.96,0,0,0,0,0,0,0,0,2,0,0,0.87,4,0,0,1.74,182,70,38.46,79.13,19,5,26.32,8.26,15,3,20,6.52,40,27,67.5,17.39,85,30,35.29,36.96,0,0,0,0,0,0,0,0,17,4,23.53,7.39,6,1,16.67,2.61, 
