Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2010,14,12,85.71,1,0,0,7.14,0,0,0,0,4,0,0,28.57,9,8,88.89,64.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,85.71,100,1,0,0,7.14,0,0,0,0,4,0,0,28.57,9,8,88.89,64.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2011,34,29,85.29,2,0,0,5.88,0,0,0,0,8,8,100,23.53,23,18,78.26,67.65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.94,2,0,0,5.88,0,0,0,0,0,0,0,0,1,0,0,2.94,1,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,84.38,94.12,2,0,0,5.88,0,0,0,0,7,7,100,20.59,22,17,77.27,64.71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.94, 
2012,45,25,55.56,4,0,0,8.89,2,0,0,4.44,5,5,100,11.11,33,16,48.48,73.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.22,4,0,0,8.89,2,0,0,4.44,0,0,0,0,0,0,0,0,2,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,25,60.98,91.11,2,0,0,4.44,2,0,0,4.44,5,5,100,11.11,31,16,51.61,68.89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.22, 
2013,40,23,57.5,2,0,0,5,3,0,0,7.5,4,0,0,10,30,17,56.67,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,3,0,0,7.5,0,0,0,0,0,0,0,0,1,0,0,2.5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,20,54.05,92.5,2,0,0,5,3,0,0,7.5,3,0,0,7.5,28,15,53.57,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5, 
2014,61,42,68.85,6,1,16.67,9.84,1,0,0,1.64,7,7,100,11.48,45,31,68.89,73.77,0,0,0,0,1,0,0,1.64,0,0,0,0,1,0,0,1.64,9,2,22.22,14.75,4,0,0,6.56,0,0,0,0,0,0,0,0,5,2,40,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,40,76.92,85.25,2,0,0,3.28,1,0,0,1.64,7,7,100,11.48,40,29,72.5,65.57,0,0,0,0,1,0,0,1.64,0,0,0,0,1,0,0,1.64, 
2015,164,81,49.39,28,7,25,17.07,8,0,0,4.88,28,20,71.43,17.07,85,45,52.94,51.83,0,0,0,0,4,0,0,2.44,0,0,0,0,5,3,60,3.05,35,17,48.57,21.34,11,2,18.18,6.71,3,0,0,1.83,5,5,100,3.05,12,7,58.33,7.32,0,0,0,0,1,0,0,0.61,0,0,0,0,1,0,0,0.61,129,64,49.61,78.66,17,5,29.41,10.37,5,0,0,3.05,23,15,65.22,14.02,73,38,52.05,44.51,0,0,0,0,3,0,0,1.83,0,0,0,0,4,0,0,2.44, 
2016,150,60,40,12,1,8.33,8,13,2,15.38,8.67,20,12,60,13.33,100,45,45,66.67,0,0,0,0,0,0,0,0,4,0,0,2.67,0,0,0,0,29,9,31.03,19.33,3,0,0,2,4,0,0,2.67,5,4,80,3.33,15,5,33.33,10,0,0,0,0,0,0,0,0,1,0,0,0.67,0,0,0,0,121,51,42.15,80.67,9,1,11.11,6,9,2,22.22,6,15,8,53.33,10,85,40,47.06,56.67,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0, 
2017,147,76,51.7,28,9,32.14,19.05,11,4,36.36,7.48,23,16,69.57,15.65,75,42,56,51.02,0,0,0,0,1,0,0,0.68,7,4,57.14,4.76,0,0,0,0,35,23,65.71,23.81,10,5,50,6.8,3,0,0,2.04,10,5,50,6.8,9,8,88.89,6.12,0,0,0,0,0,0,0,0,3,0,0,2.04,0,0,0,0,112,53,47.32,76.19,18,4,22.22,12.24,8,1,12.5,5.44,13,11,84.62,8.84,66,34,51.52,44.9,0,0,0,0,1,0,0,0.68,4,0,0,2.72,0,0,0,0, 
2018,181,97,53.59,24,6,25,13.26,20,9,45,11.05,26,19,73.08,14.36,102,62,60.78,56.35,0,0,0,0,0,0,0,0,3,0,0,1.66,0,0,0,0,47,25,53.19,25.97,10,2,20,5.52,6,4,66.67,3.31,10,7,70,5.52,19,12,63.16,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,72,53.73,74.03,14,4,28.57,7.73,14,5,35.71,7.73,16,12,75,8.84,83,50,60.24,45.86,0,0,0,0,0,0,0,0,3,0,0,1.66,0,0,0,0, 
2019,249,105,42.17,46,4,8.7,18.47,33,14,42.42,13.25,36,22,61.11,14.46,120,63,52.5,48.19,0,0,0,0,0,0,0,0,9,2,22.22,3.61,0,0,0,0,61,15,24.59,24.5,21,1,4.76,8.43,12,3,25,4.82,9,5,55.56,3.61,16,6,37.5,6.43,0,0,0,0,0,0,0,0,2,0,0,0.8,0,0,0,0,188,90,47.87,75.5,25,3,12,10.04,21,11,52.38,8.43,27,17,62.96,10.84,104,57,54.81,41.77,0,0,0,0,0,0,0,0,7,2,28.57,2.81,0,0,0,0, 
2020,275,121,44,23,7,30.43,8.36,30,12,40,10.91,29,13,44.83,10.55,182,85,46.7,66.18,0,0,0,0,0,0,0,0,8,3,37.5,2.91,0,0,0,0,76,28,36.84,27.64,6,2,33.33,2.18,10,3,30,3.64,9,3,33.33,3.27,50,19,38,18.18,0,0,0,0,0,0,0,0,1,0,0,0.36,0,0,0,0,199,93,46.73,72.36,17,5,29.41,6.18,20,9,45,7.27,20,10,50,7.27,132,66,50,48,0,0,0,0,0,0,0,0,7,2,28.57,2.55,0,0,0,0, 
