Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2010,23,20,86.96,0,0,0,0,0,0,0,0,8,5,62.5,34.78,13,13,100,56.52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.35,6,4,66.67,26.09,0,0,0,0,0,0,0,0,4,0,0,17.39,2,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,94.12,73.91,0,0,0,0,0,0,0,0,4,0,0,17.39,11,11,100,47.83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.35, 
2011,60,41,68.33,2,0,0,3.33,6,2,33.33,10,13,9,69.23,21.67,33,25,75.76,55,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6.67,16,3,18.75,26.67,2,0,0,3.33,4,0,0,6.67,3,0,0,5,5,2,40,8.33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.33,44,38,86.36,73.33,0,0,0,0,2,0,0,3.33,10,9,90,16.67,28,23,82.14,46.67,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.33, 
2012,62,30,48.39,0,0,0,0,4,0,0,6.45,10,4,40,16.13,43,21,48.84,69.35,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4.84,7,1,14.29,11.29,0,0,0,0,0,0,0,0,1,0,0,1.61,5,1,20,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,29,52.73,88.71,0,0,0,0,4,0,0,6.45,9,4,44.44,14.52,38,20,52.63,61.29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4.84, 
2013,61,48,78.69,1,0,0,1.64,1,0,0,1.64,9,7,77.78,14.75,50,39,78,81.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,88.89,14.75,0,0,0,0,0,0,0,0,0,0,0,0,9,8,88.89,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,40,76.92,85.25,1,0,0,1.64,1,0,0,1.64,9,7,77.78,14.75,41,31,75.61,67.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2014,89,59,66.29,1,0,0,1.12,4,0,0,4.49,14,11,78.57,15.73,67,44,65.67,75.28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.25,15,8,53.33,16.85,1,0,0,1.12,2,0,0,2.25,2,0,0,2.25,10,5,50,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,51,68.92,83.15,0,0,0,0,2,0,0,2.25,12,9,75,13.48,57,39,68.42,64.04,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.25, 
2015,72,43,59.72,2,0,0,2.78,2,0,0,2.78,11,7,63.64,15.28,52,31,59.62,72.22,0,0,0,0,1,0,0,1.39,0,0,0,0,2,0,0,2.78,14,8,57.14,19.44,0,0,0,0,0,0,0,0,5,3,60,6.94,7,4,57.14,9.72,0,0,0,0,1,0,0,1.39,0,0,0,0,1,0,0,1.39,58,35,60.34,80.56,2,0,0,2.78,2,0,0,2.78,6,4,66.67,8.33,45,27,60,62.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.39, 
2016,94,53,56.38,0,0,0,0,7,1,14.29,7.45,19,11,57.89,20.21,67,41,61.19,71.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,58.33,12.77,0,0,0,0,2,0,0,2.13,2,0,0,2.13,8,5,62.5,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,46,56.1,87.23,0,0,0,0,5,1,20,5.32,17,9,52.94,18.09,59,36,61.02,62.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2017,146,75,51.37,2,0,0,1.37,14,5,35.71,9.59,31,19,61.29,21.23,93,49,52.69,63.7,0,0,0,0,0,0,0,0,4,0,0,2.74,0,0,0,0,31,10,32.26,21.23,1,0,0,0.68,6,1,16.67,4.11,8,6,75,5.48,15,3,20,10.27,0,0,0,0,0,0,0,0,1,0,0,0.68,0,0,0,0,115,65,56.52,78.77,1,0,0,0.68,8,4,50,5.48,23,13,56.52,15.75,78,46,58.97,53.42,0,0,0,0,0,0,0,0,3,0,0,2.05,0,0,0,0, 
2018,169,88,52.07,2,0,0,1.18,6,3,50,3.55,36,21,58.33,21.3,114,60,52.63,67.46,1,0,0,0.59,0,0,0,0,7,3,42.86,4.14,0,0,0,0,40,20,50,23.67,1,0,0,0.59,2,0,0,1.18,12,9,75,7.1,24,10,41.67,14.2,1,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,129,68,52.71,76.33,1,0,0,0.59,4,0,0,2.37,24,12,50,14.2,90,50,55.56,53.25,0,0,0,0,0,0,0,0,7,3,42.86,4.14,0,0,0,0, 
2019,182,108,59.34,2,0,0,1.1,12,8,66.67,6.59,28,20,71.43,15.38,126,69,54.76,69.23,0,0,0,0,0,0,0,0,10,8,80,5.49,0,0,0,0,47,24,51.06,25.82,1,0,0,0.55,2,0,0,1.1,8,5,62.5,4.4,34,17,50,18.68,0,0,0,0,0,0,0,0,1,0,0,0.55,0,0,0,0,135,84,62.22,74.18,1,0,0,0.55,10,7,70,5.49,20,15,75,10.99,92,52,56.52,50.55,0,0,0,0,0,0,0,0,9,8,88.89,4.95,0,0,0,0, 
