Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2010,19,13,68.42,0,0,0,0,0,0,0,0,0,0,0,0,19,13,68.42,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,68.42,100,0,0,0,0,0,0,0,0,0,0,0,0,19,13,68.42,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2012,25,13,52,1,0,0,4,0,0,0,0,1,0,0,4,21,12,57.14,84,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,47.83,92,1,0,0,4,0,0,0,0,1,0,0,4,19,10,52.63,76,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8, 
2013,33,19,57.58,1,0,0,3.03,1,0,0,3.03,5,3,60,15.15,25,13,52,75.76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.03,5,4,80,15.15,1,0,0,3.03,0,0,0,0,3,0,0,9.09,1,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,53.57,84.85,0,0,0,0,1,0,0,3.03,2,0,0,6.06,24,12,50,72.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.03, 
2014,29,15,51.72,0,0,0,0,0,0,0,0,6,3,50,20.69,22,11,50,75.86,0,0,0,0,1,0,0,3.45,0,0,0,0,0,0,0,0,4,0,0,13.79,0,0,0,0,0,0,0,0,2,0,0,6.9,2,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,52,86.21,0,0,0,0,0,0,0,0,4,0,0,13.79,20,10,50,68.97,0,0,0,0,1,0,0,3.45,0,0,0,0,0,0,0,0, 
2015,40,24,60,0,0,0,0,1,0,0,2.5,3,0,0,7.5,35,21,60,87.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,4,0,0,10,0,0,0,0,1,0,0,2.5,0,0,0,0,3,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,20,55.56,90,0,0,0,0,0,0,0,0,3,0,0,7.5,32,18,56.25,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5, 
2016,26,9,34.62,2,0,0,7.69,0,0,0,0,1,0,0,3.85,18,7,38.89,69.23,0,0,0,0,1,0,0,3.85,1,0,0,3.85,0,0,0,0,1,0,0,3.85,0,0,0,0,0,0,0,0,1,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,36,96.15,2,0,0,7.69,0,0,0,0,0,0,0,0,18,7,38.89,69.23,0,0,0,0,1,0,0,3.85,1,0,0,3.85,0,0,0,0, 
2017,16,11,68.75,1,0,0,6.25,0,0,0,0,2,0,0,12.5,13,10,76.92,81.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18.75,0,0,0,0,0,0,0,0,1,0,0,6.25,2,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,69.23,81.25,1,0,0,6.25,0,0,0,0,1,0,0,6.25,11,8,72.73,68.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2018,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2019,3,0,0,0,0,0,0,0,0,0,0,1,0,0,33.33,2,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,100,0,0,0,0,0,0,0,0,1,0,0,33.33,2,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2020,9,4,44.44,0,0,0,0,0,0,0,0,4,0,0,44.44,5,2,40,55.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22.22,0,0,0,0,0,0,0,0,2,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,50,66.67,0,0,0,0,0,0,0,0,2,0,0,22.22,4,0,0,44.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2021,10,4,40,2,0,0,20,0,0,0,0,3,0,0,30,3,0,0,30,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,10,1,0,0,10,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,44.44,90,1,0,0,10,0,0,0,0,3,0,0,30,3,0,0,30,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,10, 
