Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2010,80,65,81.25,1,0,0,1.25,1,0,0,1.25,14,12,85.71,17.5,63,51,80.95,78.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,77.78,11.25,1,0,0,1.25,0,0,0,0,4,0,0,5,3,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,58,81.69,88.75,0,0,0,0,1,0,0,1.25,10,9,90,12.5,60,48,80,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2011,72,57,79.17,3,0,0,4.17,2,0,0,2.78,5,4,80,6.94,60,47,78.33,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,100,12.5,1,0,0,1.39,0,0,0,0,1,0,0,1.39,7,7,100,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,48,76.19,87.5,2,0,0,2.78,2,0,0,2.78,4,0,0,5.56,53,40,75.47,73.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2012,69,53,76.81,0,0,0,0,1,0,0,1.45,10,8,80,14.49,54,43,79.63,78.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,55.56,13.04,0,0,0,0,0,0,0,0,2,0,0,2.9,6,4,66.67,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,48,80,86.96,0,0,0,0,1,0,0,1.45,8,7,87.5,11.59,48,39,81.25,69.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2013,118,94,79.66,3,0,0,2.54,2,0,0,1.69,9,7,77.78,7.63,95,79,83.16,80.51,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3.39,11,8,72.73,9.32,1,0,0,0.85,0,0,0,0,0,0,0,0,10,8,80,8.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,86,80.37,90.68,2,0,0,1.69,2,0,0,1.69,9,7,77.78,7.63,85,71,83.53,72.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3.39, 
2014,119,99,83.19,1,0,0,0.84,0,0,0,0,17,15,88.24,14.29,100,83,83,84.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,85,16.81,0,0,0,0,0,0,0,0,3,0,0,2.52,17,15,88.24,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,82,82.83,83.19,1,0,0,0.84,0,0,0,0,14,13,92.86,11.76,83,68,81.93,69.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2015,169,147,86.98,2,0,0,1.18,4,0,0,2.37,29,24,82.76,17.16,130,117,90,76.92,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.78,24,24,100,14.2,0,0,0,0,0,0,0,0,7,7,100,4.14,16,16,100,9.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.59,145,123,84.83,85.8,2,0,0,1.18,4,0,0,2.37,22,17,77.27,13.02,114,101,88.6,67.46,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.18, 
2016,211,163,77.25,5,4,80,2.37,11,4,36.36,5.21,35,27,77.14,16.59,145,113,77.93,68.72,0,0,0,0,0,0,0,0,12,12,100,5.69,0,0,0,0,51,42,82.35,24.17,0,0,0,0,0,0,0,0,13,11,84.62,6.16,35,28,80,16.59,0,0,0,0,0,0,0,0,3,0,0,1.42,0,0,0,0,160,121,75.62,75.83,5,4,80,2.37,11,4,36.36,5.21,22,16,72.73,10.43,110,85,77.27,52.13,0,0,0,0,0,0,0,0,9,9,100,4.27,0,0,0,0, 
2017,233,182,78.11,5,4,80,2.15,11,7,63.64,4.72,43,34,79.07,18.45,163,128,78.53,69.96,0,0,0,0,0,0,0,0,9,8,88.89,3.86,0,0,0,0,37,33,89.19,15.88,2,0,0,0.86,1,0,0,0.43,12,11,91.67,5.15,19,16,84.21,8.15,0,0,0,0,0,0,0,0,3,0,0,1.29,0,0,0,0,196,149,76.02,84.12,3,0,0,1.29,10,6,60,4.29,31,23,74.19,13.3,144,112,77.78,61.8,0,0,0,0,0,0,0,0,6,5,83.33,2.58,0,0,0,0, 
2018,230,179,77.83,5,2,40,2.17,8,5,62.5,3.48,29,24,82.76,12.61,177,137,77.4,76.96,0,0,0,0,0,0,0,0,11,11,100,4.78,0,0,0,0,38,28,73.68,16.52,0,0,0,0,2,0,0,0.87,7,5,71.43,3.04,26,19,73.08,11.3,0,0,0,0,0,0,0,0,3,0,0,1.3,0,0,0,0,192,151,78.65,83.48,5,2,40,2.17,6,4,66.67,2.61,22,19,86.36,9.57,151,118,78.15,65.65,0,0,0,0,0,0,0,0,8,8,100,3.48,0,0,0,0, 
2019,256,197,76.95,5,4,80,1.95,15,6,40,5.86,45,33,73.33,17.58,175,144,82.29,68.36,0,0,0,0,0,0,0,0,10,7,70,3.91,0,0,0,0,50,33,66,19.53,0,0,0,0,3,0,0,1.17,6,3,50,2.34,38,28,73.68,14.84,0,0,0,0,0,0,0,0,2,0,0,0.78,0,0,0,0,206,164,79.61,80.47,5,4,80,1.95,12,6,50,4.69,39,30,76.92,15.23,137,116,84.67,53.52,0,0,0,0,0,0,0,0,8,5,62.5,3.12,0,0,0,0, 
