Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2010,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,5,5,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2011,8,5,62.5,0,0,0,0,0,0,0,0,0,0,0,0,8,5,62.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,62.5,100,0,0,0,0,0,0,0,0,0,0,0,0,8,5,62.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2012,16,10,62.5,0,0,0,0,1,0,0,6.25,0,0,0,0,15,10,66.67,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,64.29,87.5,0,0,0,0,1,0,0,6.25,0,0,0,0,13,9,69.23,81.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2013,9,6,66.67,0,0,0,0,0,0,0,0,1,0,0,11.11,7,5,71.43,77.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,57.14,77.78,0,0,0,0,0,0,0,0,1,0,0,11.11,5,3,60,55.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2014,14,8,57.14,0,0,0,0,0,0,0,0,1,0,0,7.14,11,7,63.64,78.57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.14,1,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,61.54,92.86,0,0,0,0,0,0,0,0,1,0,0,7.14,10,7,70,71.43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.14, 
2015,27,17,62.96,0,0,0,0,0,0,0,0,2,0,0,7.41,22,15,68.18,81.48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.7,2,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,64,92.59,0,0,0,0,0,0,0,0,2,0,0,7.41,20,14,70,74.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.7, 
2016,35,18,51.43,0,0,0,0,0,0,0,0,0,0,0,0,34,17,50,97.14,0,0,0,0,0,0,0,0,1,0,0,2.86,0,0,0,0,6,3,50,17.14,0,0,0,0,0,0,0,0,0,0,0,0,5,2,40,14.29,0,0,0,0,0,0,0,0,1,0,0,2.86,0,0,0,0,29,15,51.72,82.86,0,0,0,0,0,0,0,0,0,0,0,0,29,15,51.72,82.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2017,40,21,52.5,0,0,0,0,1,0,0,2.5,2,0,0,5,35,20,57.14,87.5,0,0,0,0,0,0,0,0,1,0,0,2.5,0,0,0,0,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,21,53.85,97.5,0,0,0,0,1,0,0,2.5,2,0,0,5,34,20,58.82,85,0,0,0,0,0,0,0,0,1,0,0,2.5,0,0,0,0, 
2018,54,25,46.3,2,0,0,3.7,1,0,0,1.85,4,0,0,7.41,43,20,46.51,79.63,0,0,0,0,0,0,0,0,3,0,0,5.56,0,0,0,0,5,2,40,9.26,0,0,0,0,1,0,0,1.85,0,0,0,0,3,0,0,5.56,0,0,0,0,0,0,0,0,1,0,0,1.85,0,0,0,0,49,23,46.94,90.74,2,0,0,3.7,0,0,0,0,4,0,0,7.41,40,19,47.5,74.07,0,0,0,0,0,0,0,0,2,0,0,3.7,0,0,0,0, 
2019,34,24,70.59,1,0,0,2.94,1,0,0,2.94,3,0,0,8.82,25,19,76,73.53,0,0,0,0,1,0,0,2.94,2,0,0,5.88,0,0,0,0,4,0,0,11.76,1,0,0,2.94,0,0,0,0,1,0,0,2.94,2,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,66.67,88.24,0,0,0,0,1,0,0,2.94,2,0,0,5.88,23,17,73.91,67.65,0,0,0,0,1,0,0,2.94,2,0,0,5.88,0,0,0,0, 
