Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2010,46,26,56.52,0,0,0,0,2,0,0,4.35,7,1,14.29,15.22,33,24,72.73,71.74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.17,2,0,0,4.35,0,0,0,0,0,0,0,0,1,0,0,2.17,1,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,25,56.82,95.65,0,0,0,0,2,0,0,4.35,6,1,16.67,13.04,32,23,71.88,69.57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.17, 
2011,41,28,68.29,0,0,0,0,1,0,0,2.44,7,3,42.86,17.07,31,24,77.42,75.61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.44,6,2,33.33,14.63,0,0,0,0,0,0,0,0,2,0,0,4.88,4,0,0,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,74.29,85.37,0,0,0,0,1,0,0,2.44,5,2,40,12.2,27,23,85.19,65.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.44, 
2012,61,42,68.85,2,0,0,3.28,1,0,0,1.64,7,6,85.71,11.48,50,34,68,81.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6.56,0,0,0,0,0,0,0,0,2,0,0,3.28,2,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,40,70.18,93.44,2,0,0,3.28,1,0,0,1.64,5,4,80,8.2,48,34,70.83,78.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2013,103,56,54.37,0,0,0,0,6,1,16.67,5.83,12,7,58.33,11.65,81,47,58.02,78.64,0,0,0,0,1,0,0,0.97,0,0,0,0,2,0,0,1.94,4,0,0,3.88,0,0,0,0,1,0,0,0.97,0,0,0,0,3,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,55,55.56,96.12,0,0,0,0,5,0,0,4.85,12,7,58.33,11.65,78,46,58.97,75.73,0,0,0,0,1,0,0,0.97,0,0,0,0,2,0,0,1.94, 
2014,104,62,59.62,1,0,0,0.96,4,0,0,3.85,6,4,66.67,5.77,89,56,62.92,85.58,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.92,5,1,20,4.81,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.96,99,61,61.62,95.19,1,0,0,0.96,4,0,0,3.85,6,4,66.67,5.77,85,55,64.71,81.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.96, 
2015,123,85,69.11,0,0,0,0,5,0,0,4.07,9,4,44.44,7.32,101,70,69.31,82.11,0,0,0,0,1,0,0,0.81,0,0,0,0,5,4,80,4.07,12,8,66.67,9.76,0,0,0,0,0,0,0,0,3,0,0,2.44,9,6,66.67,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,77,69.37,90.24,0,0,0,0,5,0,0,4.07,6,2,33.33,4.88,92,64,69.57,74.8,0,0,0,0,1,0,0,0.81,0,0,0,0,5,4,80,4.07, 
2016,129,86,66.67,1,0,0,0.78,10,7,70,7.75,18,10,55.56,13.95,90,61,67.78,69.77,0,0,0,0,0,0,0,0,6,5,83.33,4.65,0,0,0,0,16,11,68.75,12.4,0,0,0,0,1,0,0,0.78,3,0,0,2.33,10,7,70,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,75,66.37,87.6,1,0,0,0.78,9,7,77.78,6.98,15,8,53.33,11.63,80,54,67.5,62.02,0,0,0,0,0,0,0,0,6,5,83.33,4.65,0,0,0,0, 
2017,233,144,61.8,4,0,0,1.72,20,7,35,8.58,24,14,58.33,10.3,165,113,68.48,70.82,0,0,0,0,0,0,0,0,14,8,57.14,6.01,0,0,0,0,39,19,48.72,16.74,2,0,0,0.86,3,0,0,1.29,11,7,63.64,4.72,22,12,54.55,9.44,0,0,0,0,0,0,0,0,1,0,0,0.43,0,0,0,0,194,125,64.43,83.26,2,0,0,0.86,17,7,41.18,7.3,13,7,53.85,5.58,143,101,70.63,61.37,0,0,0,0,0,0,0,0,13,8,61.54,5.58,0,0,0,0, 
2018,120,84,70,2,0,0,1.67,9,4,44.44,7.5,22,15,68.18,18.33,76,59,77.63,63.33,0,0,0,0,0,0,0,0,8,5,62.5,6.67,0,0,0,0,18,8,44.44,15,0,0,0,0,3,0,0,2.5,4,0,0,3.33,8,4,50,6.67,0,0,0,0,0,0,0,0,1,0,0,0.83,0,0,0,0,102,76,74.51,85,2,0,0,1.67,6,2,33.33,5,18,13,72.22,15,68,55,80.88,56.67,0,0,0,0,0,0,0,0,7,5,71.43,5.83,0,0,0,0, 
2019,180,132,73.33,1,0,0,0.56,12,8,66.67,6.67,18,16,88.89,10,136,95,69.85,75.56,0,0,0,0,0,0,0,0,11,11,100,6.11,0,0,0,0,25,19,76,13.89,1,0,0,0.56,0,0,0,0,7,6,85.71,3.89,16,11,68.75,8.89,0,0,0,0,0,0,0,0,1,0,0,0.56,0,0,0,0,155,113,72.9,86.11,0,0,0,0,12,8,66.67,6.67,11,10,90.91,6.11,120,84,70,66.67,0,0,0,0,0,0,0,0,10,10,100,5.56,0,0,0,0, 
