,Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,Unnamed: 108,State
0,2017,1249,816,65.33,143,52,36.36,11.45,69,37,53.62,5.52,123,106,86.18,9.85,820,562,68.54,65.65,1,0,0.0,0.08,6,5,83.33,0.48,61,37,60.66,4.88,0,0,0.0,0.0,408,242,59.31,32.67,56,18,32.14,4.48,25,12,48.0,2.0,33,29,87.88,2.64,266,170,63.91,21.3,0,0,0.0,0.0,4,0,0.0,0.32,18,9,50.0,1.44,0,0,0.0,0.0,841,574,68.25,67.33,87,34,39.08,6.97,44,25,56.82,3.52,90,77,85.56,7.21,554,392,70.76,44.36,1,0,0.0,0.08,2,0,0.0,0.16,43,28,65.12,3.44,0,0,0.0,0.0, ,Alabama
1,2018,1607,911,56.69,216,81,37.5,13.44,97,44,45.36,6.04,114,94,82.46,7.09,1067,628,58.86,66.4,2,0,0.0,0.12,14,7,50.0,0.87,70,44,62.86,4.36,0,0,0.0,0.0,562,290,51.6,34.97,104,37,35.58,6.47,31,10,32.26,1.93,35,29,82.86,2.18,358,195,54.47,22.28,0,0,0.0,0.0,4,0,0.0,0.25,21,13,61.9,1.31,0,0,0.0,0.0,1045,621,59.43,65.03,112,44,39.29,6.97,66,34,51.52,4.11,79,65,82.28,4.92,709,433,61.07,44.12,2,0,0.0,0.12,10,5,50.0,0.62,49,31,63.27,3.05,0,0,0.0,0.0, ,Alabama
2,2019,1969,1064,54.04,264,69,26.14,13.41,135,53,39.26,6.86,136,103,75.74,6.91,1318,781,59.26,66.94,3,0,0.0,0.15,12,5,41.67,0.61,74,42,56.76,3.76,0,0,0.0,0.0,778,375,48.2,39.51,139,33,23.74,7.06,57,18,31.58,2.89,58,44,75.86,2.95,485,263,54.23,24.63,0,0,0.0,0.0,7,3,42.86,0.36,23,12,52.17,1.17,0,0,0.0,0.0,1191,689,57.85,60.49,125,36,28.8,6.35,78,35,44.87,3.96,78,59,75.64,3.96,833,518,62.18,42.31,3,0,0.0,0.15,5,2,40.0,0.25,51,30,58.82,2.59,0,0,0.0,0.0, ,Alabama
3,2020,1892,1047,55.34,311,144,46.3,16.44,142,75,52.82,7.51,143,104,72.73,7.56,1112,626,56.29,58.77,1,0,0.0,0.05,24,12,50.0,1.27,99,50,50.51,5.23,0,0,0.0,0.0,754,425,56.37,39.85,174,93,53.45,9.2,58,26,44.83,3.07,48,35,72.92,2.54,405,226,55.8,21.41,0,0,0.0,0.0,5,5,100.0,0.26,41,22,53.66,2.17,0,0,0.0,0.0,1132,618,54.59,59.83,137,51,37.23,7.24,84,49,58.33,4.44,95,69,72.63,5.02,702,397,56.55,37.1,1,0,0.0,0.05,19,7,36.84,1.0,58,28,48.28,3.07,0,0,0.0,0.0, ,Alabama
4,2021,2064,1103,53.44,253,63,24.9,12.26,151,68,45.03,7.32,119,95,79.83,5.77,1340,784,58.51,64.92,2,0,0.0,0.1,31,11,35.48,1.5,108,52,48.15,5.23,60,29,48.33,2.91,765,382,49.93,37.06,133,34,25.56,6.44,51,14,27.45,2.47,45,39,86.67,2.18,466,266,57.08,22.58,0,0,0.0,0.0,13,5,38.46,0.63,41,17,41.46,1.99,16,7,43.75,0.78,1281,709,55.35,62.06,120,29,24.17,5.81,97,52,53.61,4.7,73,56,76.71,3.54,865,512,59.19,41.91,2,0,0.0,0.1,18,6,33.33,0.87,65,33,50.77,3.15,41,20,48.78,1.99, ,Alabama
5,2017,42,33,78.57,0,0,0.0,0.0,3,0,0.0,7.14,0,0,0.0,0.0,29,23,79.31,69.05,0,0,0.0,0.0,1,0,0.0,2.38,5,4,80.0,11.9,0,0,0.0,0.0,12,7,58.33,28.57,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,9,6,66.67,21.43,0,0,0.0,0.0,1,0,0.0,2.38,2,0,0.0,4.76,0,0,0.0,0.0,30,26,86.67,71.43,0,0,0.0,0.0,3,0,0.0,7.14,0,0,0.0,0.0,20,17,85.0,47.62,0,0,0.0,0.0,0,0,0.0,0.0,3,0,0.0,7.14,0,0,0.0,0.0, ,Alaska
6,2018,88,54,61.36,1,0,0.0,1.14,12,7,58.33,13.64,6,3,50.0,6.82,51,31,60.78,57.95,0,0,0.0,0.0,3,0,0.0,3.41,13,10,76.92,14.77,0,0,0.0,0.0,19,12,63.16,21.59,0,0,0.0,0.0,4,0,0.0,4.55,2,0,0.0,2.27,9,6,66.67,10.23,0,0,0.0,0.0,2,0,0.0,2.27,2,0,0.0,2.27,0,0,0.0,0.0,69,42,60.87,78.41,1,0,0.0,1.14,8,4,50.0,9.09,4,0,0.0,4.55,42,25,59.52,47.73,0,0,0.0,0.0,1,0,0.0,1.14,11,9,81.82,12.5,0,0,0.0,0.0, ,Alaska
7,2019,55,36,65.45,0,0,0.0,0.0,2,0,0.0,3.64,8,1,12.5,14.55,36,28,77.78,65.45,0,0,0.0,0.0,3,0,0.0,5.45,6,5,83.33,10.91,0,0,0.0,0.0,14,7,50.0,25.45,0,0,0.0,0.0,1,0,0.0,1.82,5,0,0.0,9.09,7,6,85.71,12.73,0,0,0.0,0.0,1,0,0.0,1.82,0,0,0.0,0.0,0,0,0.0,0.0,41,29,70.73,74.55,0,0,0.0,0.0,1,0,0.0,1.82,3,0,0.0,5.45,29,22,75.86,52.73,0,0,0.0,0.0,2,0,0.0,3.64,6,5,83.33,10.91,0,0,0.0,0.0, ,Alaska
8,2020,65,45,69.23,0,0,0.0,0.0,6,3,50.0,9.23,9,7,77.78,13.85,41,28,68.29,63.08,0,0,0.0,0.0,1,0,0.0,1.54,5,4,80.0,7.69,0,0,0.0,0.0,12,11,91.67,18.46,0,0,0.0,0.0,1,0,0.0,1.54,5,4,80.0,7.69,6,6,100.0,9.23,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,53,34,64.15,81.54,0,0,0.0,0.0,5,2,40.0,7.69,4,0,0.0,6.15,35,22,62.86,53.85,0,0,0.0,0.0,1,0,0.0,1.54,5,4,80.0,7.69,0,0,0.0,0.0, ,Alaska
9,2021,61,49,80.33,1,0,0.0,1.64,1,0,0.0,1.64,10,7,70.0,16.39,42,35,83.33,68.85,0,0,0.0,0.0,2,0,0.0,3.28,5,4,80.0,8.2,0,0,0.0,0.0,14,9,64.29,22.95,1,0,0.0,1.64,0,0,0.0,0.0,1,0,0.0,1.64,11,8,72.73,18.03,0,0,0.0,0.0,1,0,0.0,1.64,0,0,0.0,0.0,0,0,0.0,0.0,47,40,85.11,77.05,0,0,0.0,0.0,1,0,0.0,1.64,9,7,77.78,14.75,31,27,87.1,50.82,0,0,0.0,0.0,1,0,0.0,1.64,5,4,80.0,8.2,0,0,0.0,0.0, ,Alaska
